,year,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf
1440,2017,126.0,218.0,103.0,124.0
1441,2017,208.0,126.0,,
1442,2017,224.0,58.0,148.0,26.0
1443,2017,152.0,48.0,165.0,66.0
1444,2017,2.0,171.0,21.0,139.0
1445,2017,29.0,129.0,52.0,137.0
1446,2017,15.0,135.0,51.0,149.0
1447,2017,90.0,45.0,,
1448,2017,103.0,25.0,104.0,37.0
1449,2017,42.0,78.0,63.0,87.0
1450,2017,12.0,99.0,,
1451,2017,0.0,93.0,32.0,115.0
1452,2017,33.0,50.0,55.0,55.0
1453,2017,21.0,58.0,65.0,87.0
1454,2017,29.0,48.0,54.0,61.0
1455,2017,8.0,69.0,5.0,96.0
1456,2017,32.0,36.0,103.0,61.0
1457,2017,41.0,23.0,69.0,50.0
1458,2017,5.0,34.0,132.0,75.0
1459,2017,24.0,12.0,,
1460,2017,3.0,3.0,,
1461,2017,5.0,0.0,,
1462,2017,,,37.0,62.0
1463,2017,,,45.0,53.0
1464,2017,,,49.0,48.0
1465,2017,,,51.0,41.0
1466,2017,,,41.0,45.0
1467,2017,,,69.0,16.0
1468,2017,,,2.0,81.0
1469,2017,,,38.0,38.0
1470,2017,,,40.0,29.0
1471,2017,,,31.0,29.0
1472,2017,,,39.0,17.0
1473,2017,,,0.0,55.0
1474,2017,,,25.0,17.0
1475,2017,,,20.0,16.0
1476,2017,,,20.0,1.0
1477,2017,,,1.0,0.0
1478,2018,317.0,212.0,116.0,167.0
1479,2018,253.0,183.0,173.0,89.0
1480,2018,71.0,271.0,116.0,115.0
1481,2018,136.0,204.0,,
1482,2018,249.0,59.0,,
1483,2018,215.0,66.0,134.0,98.0
1484,2018,21.0,253.0,83.0,171.0
1485,2018,102.0,143.0,120.0,81.0
1486,2018,188.0,38.0,164.0,40.0
1487,2018,115.0,94.0,153.0,82.0
1488,2018,58.0,126.0,48.0,114.0
1489,2018,91.0,90.0,62.0,57.0
1490,2018,59.0,114.0,,
1491,2018,66.0,100.0,70.0,107.0
1492,2018,84.0,60.0,133.0,133.0
1493,2018,62.0,74.0,108.0,71.0
1494,2018,119.0,11.0,114.0,65.0
1495,2018,32.0,89.0,47.0,127.0
1496,2018,75.0,38.0,72.0,45.0
1497,2018,9.0,90.0,82.0,130.0
1498,2018,65.0,28.0,88.0,23.0
1499,2018,23.0,41.0,65.0,67.0
1500,2018,18.0,43.0,,
1501,2018,25.0,23.0,,
1502,2018,23.0,23.0,73.0,35.0
1503,2018,18.0,21.0,,
1504,2018,,,40.0,67.0
1505,2018,,,14.0,92.0
1506,2018,,,8.0,93.0
1507,2018,,,47.0,47.0
1508,2018,,,20.0,71.0
1509,2018,,,27.0,59.0
1510,2018,,,60.0,21.0
1511,2018,,,53.0,28.0
1512,2018,,,41.0,38.0
1513,2018,,,51.0,14.0
1514,2018,,,45.0,20.0
1515,2018,,,17.0,46.0
1516,2018,,,17.0,23.0
1517,2018,,,14.0,14.0
1518,2018,,,13.0,11.0
1519,2018,,,6.0,18.0
1520,2018,,,0.0,15.0
1521,2019,261.0,237.0,140.0,140.0
1522,2019,253.0,219.0,,
1523,2019,244.0,126.0,124.0,93.0
1524,2019,212.0,152.0,137.0,95.0
1525,2019,93.0,241.0,88.0,150.0
1526,2019,291.0,40.0,170.0,40.0
1527,2019,58.0,247.0,84.0,155.0
1528,2019,100.0,202.0,121.0,103.0
1529,2019,131.0,153.0,140.0,121.0
1530,2019,186.0,46.0,151.0,70.0
1531,2019,7.0,150.0,85.0,157.0
1532,2019,51.0,69.0,41.0,53.0
1533,2019,32.0,77.0,54.0,95.0
1534,2019,20.0,87.0,50.0,107.0
1535,2019,59.0,46.0,93.0,74.0
1536,2019,38.0,67.0,,
1537,2019,47.0,43.0,58.0,38.0
1538,2019,54.0,35.0,65.0,91.0
1539,2019,65.0,12.0,124.0,26.0
1540,2019,48.0,28.0,133.0,65.0
1541,2019,24.0,50.0,54.0,131.0
1542,2019,53.0,1.0,,
1543,2019,35.0,0.0,,
1544,2019,13.0,18.0,44.0,78.0
1545,2019,0.0,24.0,,
1546,2019,3.0,8.0,,
1547,2019,,,60.0,60.0
1548,2019,,,32.0,65.0
1549,2019,,,77.0,16.0
1550,2019,,,27.0,58.0
1551,2019,,,20.0,50.0
1552,2019,,,24.0,47.0
1553,2019,,,33.0,29.0
1554,2019,,,38.0,26.0
1555,2019,,,43.0,8.0
1556,2019,,,13.0,37.0
1557,2019,,,23.0,26.0
1558,2019,,,15.0,31.0
1559,2019,,,14.0,9.0
1560,2019,,,0.0,21.0
1561,2019,,,3.0,13.0
1562,2020,,,,
1563,2020,,,,
1564,2020,,,,
1565,2020,,,,
1566,2020,,,,
1567,2020,,,,
1568,2020,,,,
1569,2020,,,,
1570,2020,,,,
1571,2020,,,,
1572,2020,,,,
1573,2020,,,,
1574,2020,,,,
1575,2020,,,,
1576,2020,,,,
1577,2020,,,,
1578,2020,,,,
1579,2020,,,,
1580,2020,,,,
1581,2020,,,,
1582,2020,,,,
1583,2020,,,,
1584,2020,,,,
1585,2020,,,,
1586,2020,,,,
1587,2020,,,,
1588,2020,,,,
1589,2020,,,,
1590,2020,,,,
1591,2020,,,,
1592,2020,,,,
1593,2020,,,,
1594,2020,,,,
1595,2020,,,,
1596,2020,,,,
1597,2020,,,,
1598,2020,,,,
1599,2020,,,,
1600,2020,,,,
1601,2020,,,,
1602,2020,,,,
1603,2021,318.0,206.0,,
1604,2021,251.0,248.0,,
1605,2021,165.0,267.0,135.0,156.0
1606,2021,180.0,198.0,148.0,140.0
1607,2021,267.0,97.0,164.0,103.0
1608,2021,218.0,83.0,150.0,84.0
1609,2021,47.0,208.0,151.0,174.0
1610,2021,165.0,55.0,137.0,66.0
1611,2021,100.0,104.0,108.0,117.0
1612,2021,79.0,91.0,80.0,104.0
1613,2021,30.0,140.0,101.0,149.0
1614,2021,27.0,126.0,111.0,128.0
1615,2021,62.0,53.0,123.0,56.0
1616,2021,63.0,46.0,51.0,91.0
1617,2021,82.0,20.0,68.0,56.0
1618,2021,44.0,50.0,78.0,92.0
1619,2021,20.0,73.0,93.0,99.0
1620,2021,60.0,15.0,77.0,38.0
1621,2021,3.0,71.0,47.0,70.0
1622,2021,33.0,32.0,91.0,47.0
1623,2021,35.0,22.0,38.0,74.0
1624,2021,13.0,37.0,42.0,76.0
1625,2021,0.0,11.0,,
1626,2021,0.0,6.0,,
1627,2021,0.0,3.0,,
1628,2021,0.0,0.0,,
1629,2021,,,53.0,57.0
1630,2021,,,27.0,58.0
1631,2021,,,80.0,9.0
1632,2021,,,13.0,53.0
1633,2021,,,29.0,29.0
1634,2021,,,8.0,36.0
1635,2021,,,17.0,18.0
1636,2021,,,2.0,26.0
1637,2021,,,11.0,12.0
1638,2021,,,0.0,23.0
1639,2021,,,4.0,16.0
1640,2021,,,15.0,1.0
1641,2021,,,10.0,4.0
1642,2022,439.0,192.0,202.0,135.0
1643,2022,183.0,283.0,,
1644,2022,228.0,231.0,,
1645,2022,180.0,258.0,174.0,222.0
1646,2022,225.0,87.0,174.0,63.0
1647,2022,110.0,158.0,,
1648,2022,239.0,14.0,135.0,19.0
1649,2022,57.0,158.0,60.0,151.0
1650,2022,36.0,171.0,87.0,121.0
1651,2022,146.0,36.0,104.0,73.0
1652,2022,42.0,129.0,79.0,142.0
1653,2022,105.0,46.0,114.0,84.0
1654,2022,98.0,43.0,96.0,113.0
1655,2022,93.0,35.0,103.0,56.0
1656,2022,2.0,123.0,74.0,169.0
1657,2022,3.0,103.0,0.0,96.0
1658,2022,0.0,78.0,11.0,107.0
1659,2022,53.0,12.0,100.0,18.0
1660,2022,5.0,59.0,46.0,105.0
1661,2022,21.0,40.0,105.0,82.0
1662,2022,26.0,12.0,99.0,63.0
1663,2022,5.0,33.0,125.0,102.0
1664,2022,10.0,10.0,39.0,64.0
1665,2022,8.0,9.0,,
1666,2022,6.0,0.0,,
1667,2022,,,33.0,42.0
1668,2022,,,20.0,56.0
1669,2022,,,46.0,12.0
1670,2022,,,54.0,9.0
1671,2022,,,27.0,34.0
1672,2022,,,20.0,35.0
1673,2022,,,16.0,39.0
1674,2022,,,29.0,21.0
1675,2022,,,35.0,12.0
1676,2022,,,20.0,27.0
1677,2022,,,36.0,6.0
1678,2022,,,22.0,11.0
1679,2022,,,18.0,11.0
1680,2022,,,9.0,13.0
1681,2022,,,8.0,7.0
1682,2023,243.0,340.0,,
1683,2023,376.0,150.0,,
1684,2023,185.0,177.0,,
1685,2023,174.0,176.0,,
1686,2023,216.0,52.0,,
1687,2023,189.0,54.0,,
1688,2023,55.0,127.0,,
1689,2023,22.0,146.0,,
1690,2023,21.0,130.0,,
1691,2023,35.0,94.0,,
1692,2023,46.0,81.0,,
1693,2023,58.0,68.0,,
1694,2023,112.0,11.0,,
1695,2023,53.0,69.0,,
1696,2023,16.0,104.0,,
1697,2023,50.0,54.0,,
1698,2023,5.0,95.0,,
1699,2023,76.0,20.0,,
1700,2023,81.0,12.0,,
1701,2023,31.0,61.0,,
1702,2023,45.0,33.0,,
1703,2023,59.0,17.0,,
1704,2023,16.0,43.0,,
1705,2023,16.0,14.0,,
1706,2023,9.0,15.0,,
1707,2023,15.0,3.0,,
1708,2023,,,,
1709,2023,,,,
1710,2023,,,,
1711,2023,,,,
1712,2023,,,,
1713,2023,,,,
1714,2023,,,,
1715,2023,,,,
1716,2023,,,,
1717,2023,,,,
1718,2023,,,,
1719,2023,,,,
1720,2023,,,,
1721,2023,,,,
1722,2023,,,,
1723,2023,,,,
1724,2023,,,,
1725,2023,,,,
1726,2023,,,,
1727,2023,,,,
1728,2023,,,,
1729,2023,,,,
1730,2023,,,,
1731,2023,,,,
1732,2023,,,,
1733,2023,,,,
