country,song,tone,bpm
FR,Il doit faire beau là,F major,115.0
LU,L'amour est bleu,G major,112.0
MC,Boum,F# major,135.0
ES,Hablemos del amor,F major,102.0
BE,Ik heb zorgen,C# minor,178.0
SE,Som en dröm,E minor,94.0
DE,Anouschka,B major,123.0
YU,Vse rože sveta,E major,106.0
IT,Non andare più lontano,E minor,97.0
PT,O vento mudou,A major,148.0
FI,Varjoon,,
NL,Ring,C minor,114.0
AT,Warum es hunderttausend Sterne gibt,C major,164.0
NO,Dukkemann,G major,105.0
CH,Quel cœur vas,Eb major,95.0
ES,"La, la, la",C major,137.0
GB,Congratulations,A major,98.0
FR,La Source,G major,103.0
IE,Chance of a Lifetime,Eb major,104.0
SE,Göran Hederström,C# major,92.0
DE,Ein Hoch der Liebe,C# major,95.0
BE,Quand tu reviendras,D minor,110.0
MC,À chacun sa chanson,F# major,117.0
YU,Jedan dan,D major,126.0
IT,Marianne,G major,123.0
PT,Verão,Eb major,132.0
LU,Nous vivrons d'amour,F major,84.0
AT,Tausend Fenster,Eb major,111.0
CH,Guardando il sole,F minor,96.0
NO,Stress,Eb major,178.0
NL,Morgen,C# major,145.0
FI,Kun kello käy,,
ES,Vivo cantando,C minor,147.0
GB,Boom Bang,D minor,185.0
NL,De troubadour,C# minor,96.0
FR,"Un jour, un enfant",,
CH,"Bonjour, Bonjour",Ab major,109.0
MC,Jacques,C minor,139.0
IE,The Wages of Love,Bb major,148.0
BE,Jennifer Jennings,D minor,112.0
SE,"Judy, min vän",Ab major,172.0
DE,Primaballerina,A minor,121.0
LU,Catherine,F# major,113.0
FI,Kuin silloin ennen,,
YU,Pozdrav svijetu,C# major,121.0
IT,Due grosse lacrime bianche,F major,86.0
PT,Desfolhada portuguesa,C minor,162.0
NO,"Oj, oj, oj, så glad jeg skal bli",Eb major,126.0
IE,All Kinds of Everything,Bb major,107.0
GB,"Knock, Knock (Who's There?)",D major,94.0
DE,Wunder gibt es immer wieder,E major,164.0
CH,Retour,F major,137.0
FR,Marie,C# major,107.0
ES,Gwendolyne,Eb minor,153.0
NL,Waterman,D major,155.0
IT,Occhi di ragazza,G major,98.0
BE,Viens l'oublier,E major,92.0
MC,Marlène,C# minor,142.0
YU,"Pridi, dala ti bom cvet",Eb minor,106.0
LU,Alexandre Winter,Eb major,124.0
MC,"Un banc, un arbre, une rue",Eb major,178.0
ES,En un mundo nuevo,G major,129.0
DE,Diese Welt,G major,92.0
GB,Jack in the Box,C major,121.0
IT,L'amore è un attimo,F major,91.0
SE,Vita vidder,G major,120.0
NL,Tijd,F major,110.0
FI,Tie uuteen päivään,,
PT,Menina do alto da serra,Bb minor,94.0
FR,Un jardin sur la terre,C major,124.0
IE,One Day Love,E major,114.0
CH,Les Illusions de nos vingt ans,G minor,137.0
LU,"Pomme, pomme, pomme",G major,112.0
BE,"Goeie morgen, morgen",Bb major,166.0
YU,Tvoj dječak je tužan,E minor,104.0
AT,Musik,E minor,126.0
NO,Lykken er...,Bb major,126.0
MT,Marija l,C major,96.0
LU,Après toi,Bb major,114.0
GB,"Beg, Steal or Borrow",C major,137.0
DE,Nur die Liebe läßt uns leben,E major,99.0
NL,Als het om de liefde gaat,Eb major,108.0
AT,Falter im Wind,D major,94.0
IT,I giorni dell'arcobaleno,D major,165.0
PT,A festa da vida,E minor,163.0
CH,C'est la chanson de mon amour,Bb minor,122.0
YU,Muzika i ti,F major,108.0
ES,Amanece,B minor,114.0
FR,Comé,Bb minor,129.0
FI,Muistathan,,
SE,Härliga sommardag,Bb major,178.0
NO,Småting,D major,136.0
IE,Ceol an Ghrá,C minor,81.0
MC,Marie Godart and Peter MacLane,G minor,172.0
BE,À la folie ou pas du tout,G major,74.0
MT,L,Eb major,125.0
LU,Marie David,Eb minor,98.0
ES,Eres tú,D major,172.0
GB,Power to All Our Friends,E major,91.0
IL,Ey Sham,G major,91.0
SE,You're Summer,G major,163.0
FI,Tom Tom Tom,,
NO,It's Just a Game,C major,178.0
DE,Junger Tag,C minor,90.0
MC,Un train qui part,G major,136.0
PT,Tourada,A major,98.0
IE,Do I Dream,D major,98.0
CH,"Je vais me marier, Marie",F major,178.0
IT,Chi sarà con te,G major,126.0
NL,De oude muzikant,E major,185.0
YU,Gori vatra,A minor,98.0
FR,Sans toi,F# major,162.0
BE,"Baby, Baby",,
SE,Waterloo,D major,147.0
IT,Sì,G major,172.0
NL,I See a Star,E major,89.0
GB,John,B major,85.0
LU,Bye Bye I Love You,Bb major,178.0
MC,Celui qui reste et celui qui s'en va,C major,154.0
IL,Natati La Khayay,E minor,111.0
IE,Cross Your Heart,Bb major,93.0
ES,Canta y sé feliz,,
BE,Fleur de liberté,B major,178.0
GR,"Krassi, thalassa ke t' agori mou",C major,103.0
YU,Generacija '42,E major,91.0
FI,Älä mene pois (Keep Me Warm),,
NO,Karine Ström and the Bendik Singers,G major,112.0
DE,Die Sommermelodie,G major,96.0
CH,Mein Ruf nach dir,G minor,103.0
PT,E depois do adeus,D major,120.0
NL,In,C major,139.0
GB,Let Me Be the One,C major,87.0
IT,Era,Bb major,139.0
FR,Et bonjour à toi l'artiste,D major,140.0
LU,Toi,Ab minor,114.0
CH,Mikado,F# minor,103.0
FI,Old Man Fiddle,,
SE,"Jennie, Jennie",G minor,96.0
IE,That's What Friends Are For,E major,185.0
ES,Tú volverás,Bb major,91.0
IL,At Va'Ani,F major,140.0
MT,Singing This Song,A minor,113.0
YU,Dan ljubezni,F major,120.0
MC,Une chanson c'est une lettre,E minor,96.0
BE,Gelukkig zijn,C# major,116.0
PT,Madrugada,F major,97.0
DE,Ein Lied kann eine Brücke sein,G major,120.0
NO,Touch My Life with Summer,Eb major,104.0
TR,Seninle Bir Dakika,B minor,164.0
GB,Save Your Kisses for Me,G major,97.0
FR,"Un, deux, trois",A major,149.0
MC,"Toi, la musique et moi",Eb major,145.0
CH,"Djambo, Djambo",D major,97.0
AT,My Little World,,
IL,Emor Shalom,C minor,99.0
IT,We'll Live It All Again,G minor,110.0
BE,Judy et Cie,E minor,146.0
NL,The Party's Over Now,A major,110.0
IE,When,A major,153.0
FI,Pump,,
PT,Uma flor de verde pinho,G major,136.0
GR,"Panaghia mou, panaghia mou",G major,163.0
LU,Chansons pour ceux qui s'aiment,Bb major,163.0
DE,"Sing, Sang, Song",Ab major,164.0
ES,Sobran las palabras,D major,90.0
YU,Ne mogu skriti svoj bol,G minor,133.0
NO,Karine Ström,Eb major,131.0
FR,L'Oiseau et l'Enfant,C minor,125.0
GB,Rock Bottom,G major,155.0
IE,It's Nice to Be in Love Again,A major,118.0
MC,Une petite française,D minor,93.0
GR,Mathima solfez,C minor,147.0
CH,Swiss Lady,Ab major,146.0
BE,"A Million in One, Two, Three",Eb major,113.0
DE,Telegram,A major,125.0
ES,Enséñame a cantar,B major,94.0
FI,Lapponia,,
IL,Ah,E major,102.0
NL,De mallemolen,Bb major,100.0
IT,Liberà,A minor,124.0
NO,Casanova,A minor,119.0
PT,Portugal no coração,Bb major,127.0
LU,Frère Jacques,Bb minor,125.0
AT,Boom Boom Boomerang,G major,123.0
SE,Beatles,Bb major,112.0
IL,A,F minor,145.0
BE,L'amour ça fait chanter la vie,C# minor,153.0
FR,Il y aura toujours des violons,C major,133.0
MC,Les jardins de Monaco,C minor,135.0
IE,Born to Sing,C major,104.0
DE,Feuer,C minor,139.0
LU,Parlez,F minor,133.0
GR,Charlie Chaplin,G major,140.0
ES,Bailemos un vals,C major,105.0
CH,Vivre,E major,135.0
GB,Co,Eb major,93.0
IT,Questo amore,G minor,165.0
NL,'t Is OK,B minor,141.0
SE,Det blir alltid värre framåt natten,F major,162.0
AT,Mrs. Caroline Robinson,C major,85.0
DK,Boom Boom,G major,113.0
PT,Dai,F major,172.0
FI,Anna rakkaudelle tilaisuus,,
TR,Sevince,C major,147.0
NO,Mil etter mil,F major,127.0
IL,Hallelujah,B major,141.0
ES,Su canción,C# major,107.0
FR,Marie David,F minor,144.0
DE,Dschinghis Khan,A minor,144.0
IE,Happy Man,D major,104.0
DK,Disco tango,G minor,133.0
GB,Mary Ann,C major,162.0
GR,Socrati,F minor,137.0
PT,"Sobe, sobe, balão sobe",E major,99.0
CH,Trödler & Co,F minor,118.0
NO,Oliver,C major,127.0
NL,Colorado,G major,136.0
LU,J'ai déjà vu ça dans tes yeux,F major,137.0
FI,Helena,A major,123.0
IT,Raggio di luna,E major,100.0
MC,Notre vie c'est la musique,A minor,145.0
SE,Satellit,Bb major,111.0
BE,Hey Nana,Ab minor,100.0
AT,Heute in Jerusalem,F# major,113.0
IE,What's Another Year,G major,97.0
